ud,he,d,woman
0,25.475,1,0
0,17.3,1,0
0,14.62,1,0
0,29.53333,1,0
0,28.85,1,0
0,10.625,1,0
0,27.47143,1,0
0,10,1,0
0,27.77778,1,0
0,21.625,1,0
0,42.73333,1,0
0,14.425,1,0
0,10,1,0
0,11.54,1,0
0,8.861539,1,0
0,20,1,0
0,14.425,1,0
0,13.46,1,0
0,9,1,0
0,29.12,1,0
0,29.8,1,0
0,20.96364,1,0
0,20.2,1,0
0,8,1,0
0,25,1,0
0,11.33333,1,0
0,14.425,1,0
0,38.02325,1,0
0,13.725,1,0
0,14.39024,1,0
0,17,1,0
0,29.58462,1,0
0,12.52,1,0
0,27.875,1,0
0,29.72727,1,0
0,34.62,1,0
0,32.05,1,0
0,29.60526,1,0
0,29.8,1,0
0,34.62,1,0
0,48.075,1,0
0,34.96363,1,0
0,8.175,1,0
0,20.26,1,0
0,42.73333,1,0
0,14,1,0
0,20.26,1,0
0,15,1,0
0,21.625,1,0
0,12.82222,1,0
0,10.5,1,0
0,38.46,1,0
0,19.24,1,0
0,28.84,1,0
0,6,1,0
0,19.225,1,0
0,11.95556,1,0
0,23.075,1,0
0,12.54348,1,0
0,38.46,1,0
0,26.425,1,0
0,27,1,0
0,30.3,1,0
0,25,1,0
0,48.075,1,0
0,25,1,0
0,13.84,1,0
0,13.825,1,0
0,10.95,1,0
0,38.46667,1,0
0,33.33333,1,0
0,48.1,1,0
0,24.05,1,0
0,25.63333,1,0
0,54.94286,1,0
0,15.375,1,0
0,13.75,1,0
0,7.6,1,0
0,31.25,1,0
0,19.225,1,0
0,19.475,1,0
0,27.7,1,0
0,33.98182,1,0
0,19.225,1,0
0,42.73333,1,0
0,9,1,0
0,14.62,1,0
0,33.33333,1,0
0,28.85,1,0
0,34.96363,1,0
0,27.96364,1,0
0,25.64444,1,0
0,3.672727,1,0
0,9.259259,1,0
0,10.325,1,0
0,13,1,0
0,32.05,1,0
0,21.15,1,0
0,8.636364,1,0
0,12.975,1,0
0,7.55,1,0
0,25,1,0
0,13.88889,1,0
0,20.625,1,0
0,16.675,1,0
0,15.375,1,0
0,32.05,1,0
0,20.65,1,0
0,16.16,1,0
0,16.25,1,0
0,31.25,1,0
0,8,1,0
0,34.96363,1,0
0,24.025,1,0
0,12.5,1,0
0,38.46667,1,0
0,8.183333,1,0
0.2307692,0,0,0
0,21.625,1,0
0,21.625,1,0
0,15,1,0
0,26.92,1,0
0,48.075,1,0
0,20,1,0
0,21.15,1,0
0,23.9,1,0
0,8.5,1,0
0,36,1,0
0,38.45,1,0
0,14,1,0
0,33.5,1,0
0,38.46,1,0
0,32.48889,1,0
0,13.75,1,0
0,32.04445,1,0
0,8.65,1,0
0,13,1,0
0,13.85,1,0
0,13.75,1,0
0,12,1,0
0,9.5,1,0
0,37.5,1,0
0,34.625,1,0
0,19.23333,1,0
0,24.05,1,0
0,23.5,1,0
0,29,1,0
0,12,1,0
0,23.925,1,0
0,42.73333,1,0
0,28.2,1,0
0,38.46,1,0
0,20.83333,1,0
0,9,1,0
0,4.618182,1,0
0,9,1,0
0,15.575,1,0
0,9.375,1,0
0,10.26667,1,0
0,13.88889,1,0
0,23.4,1,0
0,36.33333,1,0
0,28.84,1,0
0,19.22222,1,0
0,12.81667,1,0
0,21.37778,1,0
0,38.46,1,0
0,10,1,0
0,4.5,1,0
0,9.1,1,0
0,23.84,1,0
0,15.38,1,0
0,23.55,1,0
0,18.75,1,0
0,29.58462,1,0
0,34.96363,1,0
0,14.41667,1,0
0,22.6,1,0
0,32.05,1,0
0,6.981818,1,0
0,25,1,0
0,13,1,0
0,21,1,0
1.153846,0,0,0
0,23.08,1,0
0,38.46,1,0
0,3.85,1,0
0,20.36765,1,0
0,36.05,1,0
0,9.3,1,0
0,38.46,1,0
0,8.333333,1,0
0,7.175,1,0
0,21.16,1,0
0,6.5,1,0
0,9.22,1,0
